Gage, Year, Month, Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
H1,1993,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,1993,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,1993,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,1993,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,1993,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,1993,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,1993,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,1993,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,1993,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,1993,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,1993,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,1993,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,1994,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,1994,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,1994,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,1994,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,1994,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,1994,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,1994,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,1994,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,1994,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,1994,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,1994,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,1994,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,1995,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,1995,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,1995,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,1995,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,1995,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,1995,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,1995,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,1995,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,1995,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,1995,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,1995,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,1995,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,1996,    10,  0.72,  1.06,  0.35,  0.95,    31,0.8315
H1,1996,    11,  0.03,  0.01,  0.00,  0.01,    30,0.10718
H1,1996,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,1996,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,1996,     2,  0.19,  0.35,  0.00,  0.00,    29,
H1,1996,     3, 75.58, 64.26,  0.00,  0.00,    31,
H1,1996,     4,1164.12,1186.43,762.79,761.89,    30,0.72783
H1,1996,     5,1022.96,1101.38,700.84,628.36,    31,0.6996
H1,1996,     6,437.71,264.54,364.17,152.58,    30,0.8894
H1,1996,     7,183.02, 68.75,136.48, 46.09,    31,0.74719
H1,1996,     8, 63.20, 26.82, 49.06, 16.58,    31,0.98283
H1,1996,     9, 22.70, 11.52, 26.19, 16.29,    30,0.6964
H1,1997,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,1997,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,1997,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,1997,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,1997,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,1997,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,1997,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,1997,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,1997,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,1997,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,1997,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,1997,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,1998,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,1998,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,1998,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,1998,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,1998,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,1998,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,1998,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,1998,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,1998,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,1998,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,1998,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,1998,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,1999,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,1999,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,1999,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,1999,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,1999,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,1999,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,1999,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,1999,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,1999,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,1999,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,1999,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,1999,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,2000,    10,  0.72,  1.06,  0.35,  0.95,    31,0.8315
H1,2000,    11,  0.03,  0.01,  0.00,  0.01,    30,0.10718
H1,2000,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2000,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2000,     2,  0.19,  0.35,  0.00,  0.00,    29,
H1,2000,     3, 75.58, 64.26,  0.00,  0.00,    31,
H1,2000,     4,1164.12,1186.43,762.79,761.89,    30,0.72783
H1,2000,     5,1022.96,1101.38,700.84,628.36,    31,0.6996
H1,2000,     6,437.71,264.54,364.17,152.58,    30,0.8894
H1,2000,     7,183.02, 68.75,136.48, 46.09,    31,0.74719
H1,2000,     8, 63.20, 26.82, 49.06, 16.58,    31,0.98283
H1,2000,     9, 22.70, 11.52, 26.19, 16.29,    30,0.6964
H1,2001,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,2001,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,2001,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2001,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2001,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,2001,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,2001,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,2001,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,2001,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,2001,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,2001,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,2001,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,2002,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,2002,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,2002,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2002,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2002,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,2002,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,2002,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,2002,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,2002,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,2002,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,2002,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,2002,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,2003,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,2003,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,2003,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2003,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2003,     2,  0.20,  0.36,  0.00,  0.00,    28,
H1,2003,     3, 73.20, 65.68,  0.00,  0.00,    31,
H1,2003,     4,1148.05,1198.15,749.92,771.67,    30,0.73381
H1,2003,     5,1006.03,1104.50,685.29,630.05,    31,0.70195
H1,2003,     6,466.21,286.05,384.63,176.59,    30,0.90381
H1,2003,     7,186.72, 67.80,142.16, 49.37,    31,0.70817
H1,2003,     8, 65.83, 27.35, 50.58, 17.01,    31,0.98417
H1,2003,     9, 23.54, 11.00, 27.10, 15.74,    30,0.67116
H1,2004,    10,  0.72,  1.06,  0.35,  0.95,    31,0.8315
H1,2004,    11,  0.03,  0.01,  0.00,  0.01,    30,0.10718
H1,2004,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2004,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2004,     2,  0.19,  0.35,  0.00,  0.00,    29,
H1,2004,     3, 75.58, 64.26,  0.00,  0.00,    31,
H1,2004,     4,1164.12,1186.43,762.79,761.89,    30,0.72783
H1,2004,     5,1022.96,1101.38,700.84,628.36,    31,0.6996
H1,2004,     6,437.71,264.54,364.17,152.58,    30,0.8894
H1,2004,     7,183.02, 68.75,136.48, 46.09,    31,0.74719
H1,2004,     8, 63.20, 26.82, 49.06, 16.58,    31,0.98283
H1,2004,     9, 22.70, 11.52, 26.19, 16.29,    30,0.6964
H1,2005,    10,  0.84,  1.18,  0.47,  1.11,    31,0.86886
H1,2005,    11,  0.04,  0.01,  0.00,  0.01,    30,0.084974
H1,2005,    12,  0.02,  0.00,  0.00,  0.00,    31,
H1,2005,     1,  0.04,  0.16,  0.00,  0.00,    31,
H1,2005,     2,  0.20,  0.36,  0.00,  0.00,    28,
