Gage, Year, Month, Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
H1,1993,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,1993,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,1993,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,1993,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,1993,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,1993,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,1993,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,1993,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,1993,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,1993,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,1993,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,1993,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,1994,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,1994,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,1994,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,1994,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,1994,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,1994,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,1994,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,1994,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,1994,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,1994,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,1994,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,1994,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,1995,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,1995,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,1995,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,1995,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,1995,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,1995,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,1995,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,1995,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,1995,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,1995,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,1995,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,1995,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,1996,    10,  0.05,  0.03,  0.35,  0.95,    31,0.77192
H1,1996,    11,  0.01,  0.00,  0.00,  0.01,    30,0.013578
H1,1996,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,1996,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,1996,     2,  0.01,  0.03,  0.00,  0.00,    29,
H1,1996,     3, 42.94, 47.79,  0.00,  0.00,    31,
H1,1996,     4,997.15,1213.78,762.79,761.89,    30,0.70615
H1,1996,     5,977.46,1070.62,700.84,628.36,    31,0.67121
H1,1996,     6,478.80,254.72,364.17,152.58,    30,0.8789
H1,1996,     7,179.64, 86.99,136.48, 46.09,    31,0.79096
H1,1996,     8, 41.61, 18.92, 49.06, 16.58,    31,0.98136
H1,1996,     9, 19.51, 14.08, 26.19, 16.29,    30,0.71956
H1,1997,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,1997,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,1997,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,1997,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,1997,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,1997,     3, 35.02, 30.21,  0.00,  0.00,    31,
H1,1997,     4,987.14,1218.86,749.92,771.67,    30,0.70894
H1,1997,     5,962.34,1073.39,685.29,630.05,    31,0.67373
H1,1997,     6,504.40,268.75,384.63,176.59,    30,0.88576
H1,1997,     7,184.84, 85.97,142.16, 49.37,    31,0.7582
H1,1997,     8, 43.68, 20.08, 50.58, 17.01,    31,0.97876
H1,1997,     9, 20.21, 13.61, 27.10, 15.74,    30,0.69909
H1,1998,    10,  0.06,  0.05,  0.47,  1.11,    31,0.82399
H1,1998,    11,  0.01,  0.00,  0.00,  0.01,    30,-0.0038641
H1,1998,    12,  0.01,  0.00,  0.00,  0.00,    31,
H1,1998,     1,  0.02,  0.10,  0.00,  0.00,    31,
H1,1998,     2,  0.01,  0.03,  0.00,  0.00,    28,
H1,1998,     3, 35.02, 30.21,  0.00,  0.00,    31,
